,name,salary_from,salary_to,salary_currency,area_name,published_at
729,Координатор проекта,40000.0,70000.0,RUR,Саратов,2022-12-23T10:57:28+0300
730,Менеджер по продуктам,100000.0,,RUR,Москва,2022-12-23T10:14:24+0300
731,Инженер по телемедицине / IT специалист по организации конференции,,,,Москва,2022-12-23T10:16:28+0300
732,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Смоленск,2022-12-23T10:24:27+0300
733,Администратор вычислительной сети,55000.0,60000.0,RUR,Челябинск,2022-12-23T07:12:59+0300
734,"Электромеханик участка сигнализации, централизации и блокировки",63000.0,,RUR,Киселевск,2022-12-23T07:14:09+0300
735,Механик по транспорту,60000.0,,RUR,Ростов-на-Дону,2022-12-23T08:12:25+0300
736,Ведущий системный администратор,,,,Омск,2022-12-23T07:45:23+0300
737,Инженер-разработчик,,,,Фрязино,2022-12-23T11:12:18+0300
738,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Сыктывкар,2022-12-23T10:24:32+0300
739,Site Reliability Engineering (SRE),,280000.0,RUR,Петропавловск-Камчатский,2022-12-23T11:51:23+0300
740,Фрезеровщик,50000.0,80000.0,RUR,Москва,2022-12-23T11:26:05+0300
741,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Красногорск,2022-12-23T10:24:38+0300
742,Токарь-расточник,100000.0,,RUR,Иркутск,2022-12-23T10:35:33+0300
743,Продуктолог (Страхование),,,,Москва,2022-12-23T11:35:10+0300
744,Наладчик станков и манипуляторов с ПУ,100000.0,125000.0,RUR,Набережные Челны,2022-12-23T09:46:03+0300
745,.NET Разработчик,,,,Алматы,2022-12-23T10:22:09+0300
746,Инженер ТСБ (технических средств безопасности),,,,Южно-Сахалинск,2022-12-23T06:38:48+0300
747,Заместитель главного инженера,70000.0,,RUR,Воронеж,2022-12-23T09:56:04+0300
748,Арт-директор (HoReCa),,,,Ташкент,2022-12-23T11:51:31+0300
749,Сотрудник поддержки поиска Яндекса,13000.0,33800.0,RUR,Краснодар,2022-12-23T11:23:08+0300
750,Токарь-универсал (токарно лобовые станки),80000.0,,RUR,Самара,2022-12-23T06:30:47+0300
751,Фрезеровщик,,,,Сафоново,2022-12-23T09:23:52+0300
752,Сетевой инженер,,,,Москва,2022-12-23T08:53:45+0300
753,Сервисный менеджер,,,,Самара,2022-12-23T09:38:50+0300
754,Фрезеровщик,,,,Фрязино,2022-12-23T11:03:35+0300
755,Системный аналитик в Здравсити,,,,Москва,2022-12-23T10:32:11+0300
756,Старший программист АВАР,,,,Астана,2022-12-23T07:09:56+0300
757,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Орск,2022-12-23T10:24:32+0300
758,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Находка,2022-12-23T10:24:40+0300
759,Программист С++ (CUDA),,,,Санкт-Петербург,2022-12-23T10:23:53+0300
760,Механик,48400.0,63000.0,RUR,Анжеро-Судженск,2022-12-23T06:33:41+0300
761,Специалист сервисного центра,28000.0,,RUR,Ростов-на-Дону,2022-12-23T11:40:43+0300
762,Токарь-расточник 5 разряда -6 разряда,50000.0,70000.0,RUR,Белово,2022-12-23T08:29:33+0300
763,Оператор станков с программным управлением,50000.0,,RUR,Челябинск,2022-12-23T10:59:52+0300
764,Контент-менеджер на маркетплейс,70000.0,,RUR,Балашиха,2022-12-23T10:33:16+0300
765,Разработчик баз данных,105000.0,,RUR,Челябинск,2022-12-23T06:32:50+0300
766,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Майкоп,2022-12-23T10:24:40+0300
767,Инженер-программист С#,90000.0,,RUR,Нижний Новгород,2022-12-23T08:46:22+0300
768,Бизнес-аналитик,,,,Москва,2022-12-23T10:15:12+0300
769,Ведущий инженер-энергетик,35000.0,,RUR,Калач-на-Дону,2022-12-23T11:38:47+0300
770,Ведущий инженер-программист,35000.0,,RUR,Челябинск,2022-12-23T07:25:23+0300
771,Программист 1С,,,,Сергиев Посад,2022-12-23T10:15:10+0300
772,Оператор-наладчик токарного станка с ЧПУ,45000.0,70000.0,RUR,Омск,2022-12-23T11:09:01+0300
773,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Брянск,2022-12-23T10:24:35+0300
774,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Вологда,2022-12-23T10:24:29+0300
775,Монтажник связи,70000.0,90000.0,RUR,Санкт-Петербург,2022-12-23T11:04:10+0300
776,Системный администратор,57000.0,70000.0,RUR,Артем,2022-12-23T10:10:49+0300
777,Токарь,,,,Иваново (Ивановская область),2022-12-23T08:24:31+0300
778,Механик,30000.0,,RUR,Брянск,2022-12-23T10:24:19+0300
779,Java Developer,150000.0,250000.0,RUR,Москва,2022-12-23T08:53:45+0300
780,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Арзамас,2022-12-23T10:24:50+0300
781,Старший инженер по сопровождению интернет-банка,,,,Хабаровск,2022-12-23T05:23:12+0300
782,Электромеханик связи,21000.0,,RUR,Иваново (Ивановская область),2022-12-23T10:36:36+0300
783,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Оренбург,2022-12-23T10:24:37+0300
784,Middle Backend Developer (PHP+Laravel & Python + Django),,,,Омск,2022-12-23T11:57:46+0300
785,Сервисный механик,80000.0,,RUR,Петрозаводск,2022-12-23T09:22:18+0300
786,Наладчик ЧПУ (Фрезерная группа),75000.0,80000.0,RUR,Березовский (Свердловская область),2022-12-23T09:43:56+0300
787,Наладчик полиграфического оборудования,65000.0,,RUR,Санкт-Петербург,2022-12-23T10:38:12+0300
788,Разработчик ‎Android,,380000.0,RUR,Санкт-Петербург,2022-12-23T10:56:17+0300
789,Эксперт DevOps,,,,Москва,2022-12-23T07:13:02+0300
790,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Братск,2022-12-23T10:24:32+0300
791,Middle Frontend Developer (удаленно),150000.0,230000.0,RUR,Краснодар,2022-12-23T10:55:12+0300
792,Руководитель отдела информационных технологий,140000.0,160000.0,RUR,Москва,2022-12-23T10:43:37+0300
793,Специалист технической поддержки,,,,Москва,2022-12-23T10:15:25+0300
794,Специалист технической поддержки пользователей,,,,Екатеринбург,2022-12-23T02:09:17+0300
795,Backend разработчик 1C-Bitrix,80000.0,160000.0,RUR,Воронеж,2022-12-23T10:51:53+0300
796,Инженер-программист АСУ ТП,,,,Братск,2022-12-23T07:38:57+0300
797,Токарь-универсал,50000.0,,RUR,Волжский (Волгоградская область),2022-12-23T09:52:38+0300
798,Монтажник слаботочных систем,150000.0,300000.0,KZT,Алматы,2022-12-23T07:01:19+0300
799,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Нижний Тагил,2022-12-23T10:24:28+0300
800,Программист SQL,,,,Краснодар,2022-12-23T08:31:29+0300
801,Инженер-программист,,,,Минск,2022-12-23T10:59:44+0300
802,Сервисный инженер,45000.0,60000.0,RUR,Набережные Челны,2022-12-23T10:33:18+0300
803,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Комсомольск-на-Амуре,2022-12-23T10:24:31+0300
804,Специалист по внедрению и сопровождению ПО,32000.0,39500.0,RUR,Томск,2022-12-23T09:34:20+0300
805,Инженер по администрированию программ: Windchill / Creo,80000.0,100000.0,RUR,Санкт-Петербург,2022-12-23T10:09:30+0300
806,Механик,48400.0,63000.0,RUR,Мариинск,2022-12-23T06:34:01+0300
807,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Волгодонск,2022-12-23T10:24:36+0300
808,Разработчик SQL,,150000.0,RUR,Новосибирск,2022-12-23T09:38:31+0300
809,Наладчик технологического оборудования,,,,Санкт-Петербург,2022-12-23T09:14:38+0300
810,Ведущий исследователь данных,,,,Москва,2022-12-23T10:34:51+0300
811,Программист 1С,,,,Яхрома,2022-12-23T10:39:59+0300
812,Инженер настройки сетевого оборудования (9510),,,,Москва,2022-12-23T11:30:46+0300
813,Инженер 1 категории (системный администратор),96000.0,96000.0,RUR,Москва,2022-12-23T10:37:27+0300
814,Программист С++,,,,Санкт-Петербург,2022-12-23T11:33:19+0300
815,Разработчик 1С,,170000.0,RUR,Новосибирск,2022-12-23T07:06:26+0300
816,Механик по ремонту оборудования,,,,Уфа,2022-12-23T09:02:57+0300
817,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Новомосковск (Тульская область),2022-12-23T10:24:45+0300
818,Системный администратор,40000.0,,RUR,Киров (Кировская область),2022-12-23T09:55:31+0300
819,Продакт-менеджер (роботизированные станции для лабораторных исследований),,,,Москва,2022-12-23T09:41:10+0300
820,Монтажник ВОЛС,,,,Томск,2022-12-23T06:49:03+0300
821,PHP Битрикс разработчик,,,,Астана,2022-12-23T06:55:44+0300
822,Специалист по видеонаблюдению,50000.0,,RUR,Черняховск,2022-12-23T11:02:49+0300
823,"Судовой механик на круизный теплоход ""Империя"", оз. Байкал",60000.0,,RUR,Иркутск,2022-12-23T06:01:13+0300
824,Столяр,,39330.0,RUR,Москва,2022-12-23T11:54:36+0300
825,Токарь-универсал,60000.0,90000.0,RUR,Нижний Новгород,2022-12-23T08:43:22+0300
826,Технический руководитель,90000.0,,RUR,Миасс,2022-12-23T11:47:11+0300
827,Монтажник слаботочных систем/слаботочник (м.Ломоносовская),70000.0,100000.0,RUR,Санкт-Петербург,2022-12-23T11:05:52+0300
828,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Электросталь,2022-12-23T10:24:39+0300
829,Инженер-электроник,,45000.0,RUR,Чайковский,2022-12-23T08:24:12+0300
830,Контент-менеджер,25000.0,,RUR,Пенза,2022-12-23T09:10:16+0300
831,Специалист по анализу рынка запасных частей,,,,Москва,2022-12-23T09:27:23+0300
832,Инженер-программист,100000.0,,RUR,Краснодар,2022-12-23T08:09:26+0300
833,Руководитель проекта,,,,Уфа,2022-12-23T09:01:12+0300
834,Программист 1 категории,54000.0,,RUR,Омск,2022-12-23T05:10:00+0300
835,Токарь-расточник,55000.0,,RUR,Ростов-на-Дону,2022-12-23T09:59:02+0300
836,Специалист по внедрению и сопровождению ПО,32000.0,39500.0,RUR,Оренбург,2022-12-23T09:34:21+0300
837,Оператор станка с ЧПУ,,,,Москва,2022-12-23T10:29:37+0300
838,Наладчик станков и манипуляторов с программным управлением,61000.0,78000.0,RUR,Кемерово,2022-12-23T09:18:16+0300
839,Инженер телекоммуникации,,,,Чита,2022-12-23T10:23:39+0300
840,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Первоуральск,2022-12-23T10:24:47+0300
841,Оператор станка плазменной резки,60000.0,,RUR,Екатеринбург,2022-12-23T07:55:08+0300
842,Сетевой инженер,,60000.0,RUR,Москва,2022-12-23T10:31:14+0300
843,Программист 1С,,,,Икша,2022-12-23T10:15:10+0300
844,Golang Developer,,,,Москва,2022-12-23T10:46:50+0300
845,Программист 1С,45000.0,,RUR,Калининград,2022-12-23T08:44:28+0300
846,Начальник отдела программирования,55000.0,,RUR,Чита,2022-12-23T02:33:54+0300
847,Программист PHP,130000.0,,RUR,Барнаул,2022-12-23T06:38:15+0300
848,Инженер Linux (мейнтейнер),150000.0,,RUR,Москва,2022-12-23T09:18:08+0300
849,Продакт-менеджер (лабораторное оборудование),,,,Москва,2022-12-23T09:43:09+0300
850,Мастер (Ученик) по заправке картриджей,100000.0,150000.0,KZT,Алматы,2022-12-23T08:01:50+0300
851,Сервисный инженер технологического оборудования (в сфере HoReCa),5500000.0,6500000.0,UZS,Ташкент,2022-12-23T10:19:40+0300
852,Начальник транспортного отдела,50000.0,50000.0,RUR,Кемерово,2022-12-23T07:58:43+0300
853,Администратор проектного офиса,,,,Москва,2022-12-23T10:53:26+0300
854,Системный аналитик,250000.0,300000.0,RUR,Москва,2022-12-23T11:52:54+0300
855,Руководитель группы сопровождения некредитных продуктов розничного бизнеса,,,,Москва,2022-12-23T11:18:54+0300
856,Инженер связи (аварийная служба),72000.0,90000.0,RUR,Санкт-Петербург,2022-12-23T11:04:10+0300
857,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Рубцовск,2022-12-23T10:24:40+0300
858,IT менеджер/IT специалист (IT Manager),50000.0,,RUR,Михайловск (Ставропольский край),2022-12-23T10:48:26+0300
859,Middle/Senior Fullstack-разработчик (.Net),,,,Москва,2022-12-23T10:55:55+0300
860,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Южно-Сахалинск,2022-12-23T10:24:33+0300
861,HR-аналитик,70000.0,100000.0,RUR,Москва,2022-12-23T10:21:32+0300
862,Web-программист,,110000.0,RUR,Новокузнецк,2022-12-23T07:14:04+0300
863,Программист разработчик 1С (нетиповая),,220000.0,RUR,Москва,2022-12-23T10:14:01+0300
864,Технический писатель,,,,Зеленоград,2022-12-23T11:20:40+0300
865,Руководитель технических проектов,80000.0,90000.0,RUR,Новосибирск,2022-12-23T05:26:47+0300
866,Автор по программированию,,50000.0,RUR,Москва,2022-12-23T08:32:59+0300
867,Программист С++ (CUDA),,,,Краснодар,2022-12-23T10:23:57+0300
868,Product Manager (Монетизация),,,,Санкт-Петербург,2022-12-23T11:22:50+0300
869,Middle PHP developer,,,,Коканд,2022-12-23T08:13:34+0300
870,Network Administrator / Сетевой Администратор,,,,Москва,2022-12-23T11:48:08+0300
871,Администратор проектов 1С,46000.0,,RUR,Санкт-Петербург,2022-12-23T11:41:46+0300
872,Data engineer,,,,Москва,2022-12-23T10:09:17+0300
873,Разработчик баз данных,,,,Магнитогорск,2022-12-23T06:50:02+0300
874,Токарь-универсал,100000.0,112000.0,RUR,Владимир,2022-12-23T10:42:57+0300
875,Токарь (4210),,,,Москва,2022-12-23T11:27:11+0300
876,Техник связи,,,,Санкт-Петербург,2022-12-23T11:04:11+0300
877,Программист 1С,,,,Москва,2022-12-23T10:49:20+0300
878,Инженер-механик,50000.0,,RUR,Барнаул,2022-12-23T05:36:59+0300
879,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Зеленодольск (Республика Татарстан),2022-12-23T10:24:51+0300
880,Старший редактор,32000.0,35000.0,RUR,Волгоград,2022-12-23T09:18:45+0300
881,Мастер участка по ремонту спецтехники,60000.0,,RUR,Самара,2022-12-23T07:36:48+0300
882,Специалист личной поддержки,,42000.0,RUR,Челябинск,2022-12-23T07:22:03+0300
883,PHP разработчик,,,,Санкт-Петербург,2022-12-23T11:15:56+0300
884,Фрезеровщик,50000.0,,RUR,Красноярск,2022-12-23T08:28:57+0300
885,Специалист службы поддержки в Yandex Cloud,54000.0,70200.0,RUR,Новосибирск,2022-12-23T10:24:26+0300
886,PHP разработчик Middle/Senior,,,,Набережные Челны,2022-12-23T11:17:22+0300
887,Специалист службы поддержки в Yandex Cloud,54000.0,70200.0,RUR,Красноярск,2022-12-23T10:24:28+0300
888,Ведущий специалист информационной безопасности (ФЗ 152\ФЗ 187),,,,Москва,2022-12-23T10:43:07+0300
889,Системный администратор (администратор безопасности)(4604),50000.0,,RUR,Москва,2022-12-23T11:26:49+0300
890,Руководитель отдела разработки аналитических инструментов и визуализации данных,,,,Москва,2022-12-23T10:32:17+0300
891,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Грозный,2022-12-23T10:24:28+0300
892,Наладчик станков ЧПУ (токарный/фрезерный),105000.0,,RUR,Узловая,2022-12-23T09:24:15+0300
893,Сервисный инженер,80000.0,100000.0,RUR,Домодедово,2022-12-23T10:33:15+0300
894,Менеджер процессов,70000.0,90000.0,RUR,Владивосток,2022-12-23T09:06:11+0300
895,Инженер по тестированию (mobile),,,,Рязань,2022-12-23T10:11:53+0300
896,Ночной специалист службы поддержки в Yandex Cloud,64800.0,81000.0,RUR,Пермь,2022-12-23T10:24:30+0300
897,Программист 1С,90000.0,120000.0,RUR,Челябинск,2022-12-23T11:47:45+0300
898,Шлифовщик профильной шлифовки,45000.0,,RUR,Чебоксары,2022-12-23T09:10:21+0300
899,Backend-разработчик / программист,,,,Москва,2022-12-23T09:33:54+0300
900,Технический писатель (ЕСПД ЕСКД),70000.0,90000.0,RUR,Москва,2022-12-23T09:20:13+0300
901,Начинающий специалист,30000.0,,RUR,Волово,2022-12-23T09:52:50+0300
902,Системный аналитик,,,,Москва,2022-12-23T11:34:35+0300
903,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Улан-Удэ,2022-12-23T10:24:34+0300
904,Системный администратор Windows (Согаз-Жизнь),,,,Москва,2022-12-23T09:36:54+0300
905,Второй механик (судовой),89000.0,,RUR,Большой Камень,2022-12-23T08:21:10+0300
906,Механик по техническому обслуживанию и ремонту карьерной техники,63000.0,65000.0,RUR,Кемерово,2022-12-23T07:46:22+0300
907,Системный администратор Linux,,,,Москва,2022-12-23T11:14:49+0300
908,Программист 1С,,,,Тамбов,2022-12-23T10:15:10+0300
909,Регулировщик РЭА и приборов,65000.0,,RUR,Москва,2022-12-23T11:17:33+0300
910,Фрезеровщик 3 разряда-6 разряда,30000.0,,RUR,Белово,2022-12-23T08:30:25+0300
911,Токарь по обработке абразивных изделий,35000.0,,RUR,Иваново (Ивановская область),2022-12-23T08:24:30+0300
912,Механик по ремонту оборудования,,90000.0,RUR,Александров,2022-12-23T10:43:55+0300
913,Site Reliability Engineer (SRE),,,,Рязань,2022-12-23T10:11:53+0300
914,Старший инженер программист,70000.0,,RUR,Красноярск,2022-12-23T08:28:57+0300
915,Токарь,70000.0,120000.0,RUR,Москва,2022-12-23T11:03:46+0300
916,Токарь 5-6 разряда,100000.0,,RUR,Большой Камень,2022-12-23T07:44:30+0300
917,Программист 1С,,,,Москва,2022-12-23T10:15:10+0300
918,Backend-разработчик (node.js),175000.0,,RUR,Санкт-Петербург,2022-12-23T10:17:03+0300
919,Системный аналитик (Middle/Senior),115000.0,,RUR,Тула,2022-12-23T10:26:28+0300
920,Менеджер IT- продукта,60000.0,100000.0,RUR,Владивосток,2022-12-23T09:06:15+0300
921,Мастер по ремонту компьютеров,40000.0,,RUR,Чита,2022-12-23T11:56:22+0300
922,Разработчик HR-функциональности на технологии 1С:Предприятие.Элемент,,,,Москва,2022-12-23T10:54:49+0300
923,Программист (системный администратор),30000.0,,RUR,Астрахань,2022-12-23T11:10:41+0300
924,Фрезеровщик,70000.0,,RUR,Химки,2022-12-23T10:21:52+0300
925,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Батайск,2022-12-23T10:24:44+0300
926,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Дербент,2022-12-23T10:24:45+0300
927,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Новый Уренгой,2022-12-23T10:24:47+0300
928,Начальник отдела строительства и эксплуатации гражданских объектов,50000.0,67000.0,RUR,Тула,2022-12-23T11:39:51+0300
929,Механик по автотранспорту,,60000.0,RUR,Москва,2022-12-23T10:25:32+0300
930,Маркетолог-аналитик / Формирование продукта / Дирекция по развитию девелоперских проектов,,,,Москва,2022-12-23T11:56:30+0300
931,Регулировщик РЭА и приборов,26000.0,,RUR,Екатеринбург,2022-12-23T09:11:08+0300
932,Python Developer,150000.0,220000.0,RUR,Санкт-Петербург,2022-12-23T08:53:46+0300
933,Наладчик технологического оборудования 3 разряда-6 разряда,50000.0,,RUR,Белово,2022-12-23T08:34:45+0300
934,DevOps-инженер,,,,Ростов-на-Дону,2022-12-23T10:40:55+0300
935,Системный администратор серверной инфраструктуры,,,,Киров (Кировская область),2022-12-23T09:04:23+0300
936,Продукт - менеджер/Product - manager,,,,Санкт-Петербург,2022-12-23T10:25:17+0300
937,Механик-наладчик пищевого оборудования,50000.0,,RUR,Краснодар,2022-12-23T11:49:16+0300
938,Токарь-универсал,100000.0,112000.0,RUR,Ульяновск,2022-12-23T10:43:16+0300
939,Middle Frontend developer (Vue.js/Nuxt),180000.0,250000.0,RUR,Санкт-Петербург,2022-12-23T10:55:22+0300
940,IT аналитик разработки ПО,85800.0,,RUR,Череповец,2022-12-23T11:15:06+0300
941,Наладчик,42800.0,,RUR,Рязань,2022-12-23T11:39:20+0300
942,Сервисный инженер,80000.0,100000.0,RUR,Москва,2022-12-23T10:33:15+0300
943,Инженер-программист АСУ ТП,70000.0,,RUR,Новосибирск,2022-12-23T05:26:47+0300
944,Программист 1С,90000.0,,RUR,Тюмень,2022-12-23T08:24:41+0300
945,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Энгельс,2022-12-23T10:24:32+0300
946,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Черкесск,2022-12-23T10:24:45+0300
947,Frontend (Vue 3) разработчик (офис),180000.0,180000.0,RUR,Москва,2022-12-23T10:14:38+0300
948,Специалист отдела БДД,44000.0,44000.0,RUR,Йошкар-Ола,2022-12-23T08:09:36+0300
949,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Королев,2022-12-23T10:24:32+0300
950,Разработчик 1С Предприятие 8.3,150000.0,,RUR,Москва,2022-12-23T11:53:08+0300
951,Системный администратор,45000.0,,RUR,Челябинск,2022-12-23T11:10:37+0300
952,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Ижевск,2022-12-23T10:24:37+0300
953,Механик по ремонту оборудования,40000.0,45000.0,RUR,Иркутск,2022-12-23T06:14:50+0300
954,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Жуковский,2022-12-23T10:24:49+0300
955,Devops инженер,,350000.0,RUR,Москва,2022-12-23T11:51:20+0300
956,Старший механик швейного оборудования,84000.0,84000.0,RUR,Москва,2022-12-23T10:45:01+0300
957,Сотрудник поддержки поиска Яндекса,13000.0,33800.0,RUR,Ростов-на-Дону,2022-12-23T11:23:08+0300
958,Специалист по сопровождению программного обеспечения,,,,Минск,2022-12-23T10:59:50+0300
959,Наладчик станков с ЧПУ,50000.0,,RUR,Ярославль,2022-12-23T11:24:26+0300
960,Инженер-программист АСУТП,,,,Челябинск,2022-12-23T09:49:03+0300
961,Старший механик нефтепереработки,,,,Комсомольск-на-Амуре,2022-12-23T10:23:42+0300
962,Java-разработчик,,,,Рязань,2022-12-23T10:11:53+0300
963,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Хасавюрт,2022-12-23T10:24:41+0300
964,Программист 1С,150000.0,,RUR,Санкт-Петербург,2022-12-23T11:11:34+0300
965,Инженер-механик (металлообработка),,,,Волгоград,2022-12-23T08:16:30+0300
966,Механик погрузочно-разгрузочной техники (РЦ Домодедово),55000.0,,RUR,Подольск (Московская область),2022-12-23T10:02:14+0300
967,Middle PHP-developer (удаленно),150000.0,230000.0,RUR,Краснодар,2022-12-23T10:54:31+0300
968,Шлифовщик,40000.0,,RUR,Екатеринбург,2022-12-23T09:31:56+0300
969,Программист 1С,,,,Воронеж,2022-12-23T10:15:10+0300
970,Наладчик технологического оборудования,35000.0,,RUR,Чебоксары,2022-12-23T10:32:07+0300
971,Оператор фрезерного станка с ЧПУ,60000.0,,RUR,Обнинск,2022-12-23T08:55:20+0300
972,Инженер по сопровождению 1С,,25000.0,RUR,Тамбов,2022-12-23T09:36:52+0300
973,Инженер отдела биллинга,,,,Бишкек,2022-12-23T09:11:20+0300
974,Системный администратор Linux,,,,Москва,2022-12-23T11:41:30+0300
975,Специалист по сопровождению систем 1С,,,,Красногорск,2022-12-23T10:12:43+0300
976,Senior Java Разработчик,,,,Москва,2022-12-23T10:57:23+0300
977,Токарь-универсал,100000.0,112000.0,RUR,Пенза,2022-12-23T10:43:26+0300
978,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Стерлитамак,2022-12-23T10:24:30+0300
979,Специалист по внедрению и сопровождению ПО,30000.0,,RUR,Брянск,2022-12-23T09:34:21+0300
980,Инженер ИТ (9510),,,,Москва,2022-12-23T11:30:43+0300
981,Специалист по подключению абонентов,35000.0,,RUR,Нижний Тагил,2022-12-23T07:06:26+0300
982,Frontend Team Lead,,,,Москва,2022-12-23T10:14:41+0300
983,Инженер технической поддержки,,,,Бийск,2022-12-23T09:41:07+0300
984,Дизайнер интерьера (кухонная мебель),42800.0,64500.0,RUR,Рязань,2022-12-23T10:52:03+0300
985,Риск-аналитик,,,,Москва,2022-12-23T11:41:23+0300
986,Старший механик,53000.0,53000.0,RUR,Менделеевск,2022-12-23T10:42:31+0300
987,Эксперт по информационной безопасности ( Checkpoint),,,,Москва,2022-12-23T09:37:05+0300
988,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Сургут,2022-12-23T10:24:47+0300
989,Руководитель проектов,,,,Санкт-Петербург,2022-12-23T09:11:18+0300
990,Механик по оборудованию в участок МиРПО,117000.0,154000.0,RUR,Тюмень,2022-12-23T09:22:27+0300
991,Системный администратор,65000.0,70000.0,RUR,Москва,2022-12-23T11:29:27+0300
992,Python Developer,150000.0,220000.0,RUR,Москва,2022-12-23T08:53:46+0300
993,Специалист по информационной безопасности,,,,Томск,2022-12-23T02:10:16+0300
994,Фрезеровщик,46000.0,106000.0,RUR,Чехов,2022-12-23T10:53:49+0300
995,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Нижнекамск,2022-12-23T10:24:31+0300
996,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Балаково,2022-12-23T10:24:36+0300
997,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Прокопьевск,2022-12-23T10:24:33+0300
998,Токарь-универсал,,,,Челябинск,2022-12-23T08:02:40+0300
999,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Ярославль,2022-12-23T10:24:48+0300
1000,Инженер по сопровождению (SRE),,,,Новосибирск,2022-12-23T10:14:18+0300
1001,Разработчик ETL,,,,Рязань,2022-12-23T10:11:53+0300
1002,Ночной консультант службы поддержки пользователей,15600.0,39000.0,RUR,Томск,2022-12-23T11:26:19+0300
1003,Оператор плазменной резки на производство металлоконструкций,70000.0,,RUR,Колтуши,2022-12-23T09:21:32+0300
1004,Аналитик-консультант 1С: ERP,200000.0,,RUR,Тула,2022-12-23T11:42:48+0300
1005,Специалист по технической поддержке клиентов (без продаж),30000.0,30000.0,RUR,Рязань,2022-12-23T10:59:37+0300
1006,Главный эксперт (Сектор анализа и сопровождения отчётности HR),,,,Краснодар,2022-12-23T09:57:30+0300
1007,Pre-Sale Manager (AI Cloud),,,,Москва,2022-12-23T10:09:59+0300
1008,Ночной консультант службы поддержки пользователей,15600.0,39000.0,RUR,Воронеж,2022-12-23T11:26:19+0300
1009,Шлифовщик (в автоматный цех),38000.0,50000.0,RUR,Вологда,2022-12-23T08:28:40+0300
1010,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Новочебоксарск,2022-12-23T10:24:44+0300
1011,Главный механик,,,,Владимир,2022-12-23T10:27:29+0300
1012,Системный администратор Grafana,,,,Новосибирск,2022-12-23T05:45:00+0300
1013,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Сургут,2022-12-23T07:20:50+0300
1014,Оператор станков с ЧПУ,50000.0,,RUR,Челябинск,2022-12-23T10:10:48+0300
1015,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Орел,2022-12-23T10:24:42+0300
1016,Специалист по информационной безопасности,70000.0,80000.0,RUR,Владивосток,2022-12-23T09:58:17+0300
1017,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Сургут,2022-12-23T10:24:48+0300
1018,SQL программист (разработчик БД),120000.0,,RUR,Нижний Новгород,2022-12-23T11:25:36+0300
1019,Системный администратор,,,,Казань,2022-12-23T08:55:52+0300
1020,Фрезеровщик,,,,Ивантеевка,2022-12-23T11:03:35+0300
1021,Механик,42400.0,42400.0,RUR,Йошкар-Ола,2022-12-23T08:28:23+0300
